v7,v9,v10,v14,v56,v57,v58,v59,v60,v61,v104,v105,v106,v107,v108,v109,v110,v111,v112,v113,v114,v115,v116,v123,v124,v125,v126,v127,v128,v129,v130,v131,v132,v133,v134,v135,v136,v137,v138,v170,v171,v172,v173,v174,v175,v176,v179,v180,v182,v188,v189,v190,v191,v192,v193,v194,v195,v196,v197,v198,v199,v200,v201,v202,v203,v220,v221,v222,v223,v224,v225,v226,v227,v228,v229,v230,v256,v257,v258,v259,v260,v261,v262,v263,v264,v265,v266,v267,v268,v269,bald
2,1,2,0,2,2,1,2,2,3,2,2,1,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2,1,2,1,2,2,1,1,2,.,.,2,2,.,.,.,2,1,2,2,3,2,2,.,2,2,2,1,1,2,.,2,2,2,.,2,1,2,1,1,1,2,1,2,2,2,.,.,3,2,2,2,2,.,2,2,3,3,2,2,50
2,2,.,0,1,1,1,2,4,4,2,2,2,2,2,2,2,2,2,1,2,2,2,2,1,2,2,2,2,2,2,2,2,1,1,1,2,2,2,2,2,2,2,2,.,2,2,2,2,1,2,3,1,3,3,2,1,1,2,2,2,1,2,2,2,1,1,2,1,2,1,2,1,2,2,2,.,2,2,2,2,2,2,2,2,2,2,2,2,2,26
1,1,1,3,2,1,1,3,3,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2,2,1,1,2,2,2,1,1,1,1,1,.,2,1,1,.,1,2,2,1,1,2,3,1,3,2,3,1,1,2,3,1,2,2,2,1,2,1,2,1,2,1,2,.,2,2,.,2,2,2,2,2,3,3,3,2,2,41
2,1,1,1,1,1,1,2,1,1,2,2,1,2,2,2,2,2,1,1,1,2,2,2,1,1,2,2,2,2,2,2,2,2,2,2,1,2,2,1,1,1,1,1,2,2,1,1,2,1,3,3,1,3,2,2,1,3,1,3,1,1,3,3,.,1,2,2,1,2,2,2,1,2,2,2,.,.,.,3,3,3,3,3,3,3,3,3,3,3,27
2,1,1,2,1,1,1,1,3,3,1,2,2,2,2,2,2,2,2,1,2,2,1,1,1,1,1,2,2,2,2,2,2,1,2,2,1,2,2,1,1,1,1,2,2,.,2,2,2,1,2,2,1,3,2,3,2,2,2,2,2,2,2,2,2,1,1,2,1,2,1,2,2,2,2,1,3,2,3,3,3,2,3,3,3,4,4,4,3,3,39
2,2,.,1,3,1,1,1,1,3,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,2,2,2,2,1,2,2,2,2,2,2,1,2,2,2,2,2,2,2,1,2,2,1,1,1,3,3,1,3,3,3,1,3,2,2,3,2,2,2,3,2,1,2,1,1,1,2,1,2,2,2,3,3,3,3,3,3,3,3,3,3,4,3,3,3,47
1,2,.,0,1,1,1,2,3,3,2,2,1,2,2,2,2,2,2,1,2,1,2,1,1,2,1,1,2,2,1,2,1,1,2,1,1,1,2,2,2,2,2,2,2,2,2,2,2,1,2,2,1,3,2,3,1,1,1,2,2,1,2,2,3,1,1,2,1,1,1,2,2,2,2,2,2,2,2,2,3,1,2,2,2,2,1,2,1,1,31
2,2,.,0,1,1,1,1,2,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,1,2,2,2,2,2,2,2,1,2,1,1,2,.,.,.,.,.,.,2,1,1,2,2,3,3,1,3,2,3,1,3,1,1,2,1,1,1,3,2,1,2,1,2,1,2,1,2,1,2,3,3,2,2,2,2,2,2,2,2,.,3,2,2,29
2,2,.,0,1,1,1,1,3,3,2,2,1,2,2,2,2,2,2,1,2,2,2,1,1,2,1,1,2,2,1,1,2,1,1,1,1,1,2,2,2,2,2,2,1,2,2,1,2,1,2,3,1,3,2,3,1,2,1,1,2,1,1,1,3,1,1,2,1,2,2,2,1,2,1,2,1,2,2,3,3,2,2,2,2,2,2,2,2,2,25
1,2,.,0,3,2,1,1,3,4,2,2,1,2,2,1,2,2,2,2,2,2,2,1,1,2,2,1,2,2,1,2,1,2,1,2,1,1,2,2,2,2,2,2,2,2,2,2,2,3,3,3,1,3,2,3,1,1,1,1,2,1,2,1,3,1,1,2,1,2,1,2,2,2,1,2,3,2,2,2,2,1,3,3,3,3,3,3,2,2,26
2,2,.,3,2,1,1,1,2,4,1,2,1,2,1,1,1,1,2,1,2,2,1,1,1,2,1,2,1,1,2,2,1,1,2,2,2,1,2,1,2,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,1,1,1,1,1,1,1,2,1,1,1,2,1,2,1,2,1,2,2,2,3,3,2,3,3,3,4,4,3,4,3,2,3,3,57
1,1,2,0,2,1,2,2,3,4,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,1,1,2,2,1,1,2,2,1,2,2,2,2,2,2,2,2,2,1,2,2,2,1,1,2,3,1,3,2,3,2,2,1,2,3,1,3,3,3,1,1,2,1,2,1,2,1,2,2,2,3,2,2,3,3,2,3,3,2,4,2,2,2,2,28
1,2,.,1,2,2,2,2,3,4,2,2,1,2,2,2,2,2,2,1,2,2,2,2,1,2,1,2,2,1,1,1,2,2,1,2,2,2,2,2,2,2,2,2,.,2,2,2,2,1,3,2,2,3,3,3,2,2,1,3,2,1,3,3,3,2,1,2,2,1,1,2,2,2,1,2,.,.,.,3,3,2,3,3,.,4,2,.,2,3,37
2,2,.,0,2,1,1,1,1,1,2,2,2,2,1,2,2,2,2,2,2,2,2,1,1,2,2,1,2,2,1,1,2,1,1,1,1,2,2,1,1,1,1,2,1,1,1,1,1,1,3,3,1,3,2,3,1,.,1,1,3,1,1,2,3,1,1,2,1,2,1,2,1,2,2,2,2,2,3,3,4,1,3,4,3,3,2,2,3,3,25
2,1,1,2,2,1,2,1,2,4,1,2,1,1,1,1,1,1,2,1,2,2,2,1,1,2,1,2,2,2,1,2,2,1,1,1,1,1,2,2,2,2,2,2,2,2,2,1,2,1,3,2,1,3,1,2,1,1,1,2,1,1,1,2,3,1,1,2,1,2,1,2,2,2,1,2,3,4,3,3,3,3,3,3,2,4,3,3,2,2,42
1,2,.,0,.,1,.,1,4,4,2,2,1,2,2,2,2,2,2,1,2,2,2,2,1,2,2,2,2,2,2,2,2,1,2,2,2,2,2,1,1,.,.,.,2,.,.,2,2,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,1,2,2,1,1,1,2,2,2,2,2,2,.,2,4,.,.,.,.,.,.,.,.,.,.,26
1,1,1,2,2,1,2,1,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,1,1,1,1,2,2,1,1,2,2,2,1,2,2,1,2,1,1,2,2,2,2,2,2,2,2,2,2,3,1,3,2,2,1,2,2,2,2,1,2,2,3,2,1,2,1,1,1,2,1,2,2,2,2,2,2,2,2,2,2,2,2,3,2,2,2,2,40
1,2,.,2,1,1,2,2,2,2,2,2,1,2,2,1,2,2,2,1,2,2,2,1,1,2,1,1,2,1,1,1,1,2,1,1,1,1,2,1,2,2,2,1,2,2,2,1,2,1,3,3,1,2,2,3,1,1,1,1,1,1,1,1,1,2,1,2,1,2,1,2,1,1,2,2,3,3,2,2,3,2,2,3,2,3,2,2,2,2,52
1,2,.,0,1,1,2,2,.,2,2,2,2,2,2,2,2,2,1,1,2,2,2,1,2,2,2,1,2,2,2,2,1,1,2,2,2,1,2,1,1,1,1,.,2,2,.,2,.,3,2,3,2,3,2,1,3,3,3,2,2,1,1,1,3,2,1,1,1,2,1,2,2,2,2,2,3,2,1,2,2,2,2,3,2,2,2,2,2,2,20
2,1,1,2,2,1,2,2,2,3,2,2,2,2,2,2,2,2,2,1,2,2,2,1,1,2,2,2,2,1,1,2,2,2,1,1,2,2,2,1,2,2,2,2,2,2,2,2,2,1,3,3,1,3,2,3,1,1,1,2,2,1,2,1,3,1,1,2,1,2,1,2,2,2,1,2,1,3,2,3,2,2,3,3,2,3,3,3,3,3,30
2,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,2,2,2,2,1,1,1,1,1,1,1,1,1,2,1,1,2,2,1,2,.,1,1,2,2,2,2,1,3,2,3,1,1,1,1,2,1,2,2,3,2,1,2,1,1,1,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,40
2,2,.,3,2,1,1,2,4,3,1,1,1,1,1,1,1,1,1,1,2,2,1,1,1,2,1,2,2,1,1,2,2,1,1,1,1,2,2,1,2,2,2,2,.,2,.,1,2,1,3,2,1,2,2,3,2,3,3,2,2,2,2,2,2,1,1,2,1,2,1,2,2,2,2,1,2,2,2,3,3,2,3,3,3,4,3,3,3,3,69
2,1,1,1,1,1,2,1,3,3,2,2,1,2,2,2,1,1,2,1,2,2,2,1,1,2,1,2,2,1,1,2,1,1,1,2,1,1,2,1,.,.,.,.,2,1,2,2,2,1,3,.,1,2,2,3,1,1,2,2,.,1,3,3,.,1,1,2,1,2,1,2,2,2,1,2,3,.,3,4,2,2,4,4,2,3,2,2,3,.,48
2,1,1,2,2,1,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,2,1,2,2,1,1,2,1,1,1,2,1,1,2,1,1,2,.,2,1,1,1,1,1,1,2,3,1,3,2,3,1,3,2,2,3,1,2,2,3,2,1,2,1,1,1,2,2,2,1,2,2,3,2,3,2,2,3,2,2,3,3,3,2,2,59
2,2,.,2,3,1,1,1,2,3,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,2,1,2,2,1,1,1,1,1,2,1,2,1,2,.,1,2,2,2,1,1,2,2,2,1,3,3,1,3,2,3,1,.,2,2,2,1,2,2,3,2,1,2,2,2,1,2,2,2,1,2,.,2,2,3,2,2,3,3,2,3,2,2,3,2,49
1,1,1,2,1,1,2,2,3,3,2,2,1,1,2,2,2,2,2,1,2,2,2,1,1,2,1,1,2,2,1,2,1,2,1,1,1,1,2,1,2,2,2,2,2,2,2,2,2,1,3,2,1,3,2,3,1,3,1,1,2,1,2,2,3,1,1,2,1,2,1,2,2,2,2,2,2,2,2,3,3,2,3,3,1,4,3,3,2,2,44
2,1,1,2,3,1,2,1,3,4,2,2,1,2,2,1,2,2,1,1,2,2,2,2,2,2,2,1,2,1,1,2,2,2,2,2,1,2,2,1,2,2,2,2,2,2,2,1,2,2,3,3,1,2,2,3,1,3,2,2,3,1,1,3,2,1,1,2,1,2,1,2,2,2,1,2,1,3,3,3,2,1,2,2,1,2,2,3,1,2,33
2,1,1,0,1,2,1,1,3,4,2,2,2,2,2,2,2,2,2,1,2,2,2,1,1,2,2,1,2,2,1,2,2,1,1,1,1,1,2,2,1,2,2,2,2,1,2,2,2,1,3,2,1,2,3,3,1,1,1,1,3,1,2,2,3,1,1,2,1,2,1,2,2,2,1,2,3,3,2,2,3,2,2,3,2,3,2,2,2,2,29
1,2,.,0,2,2,1,2,3,4,2,1,1,1,2,2,2,2,2,1,2,2,2,1,1,2,1,2,2,2,1,2,2,2,1,1,1,1,2,1,2,2,2,2,.,2,1,1,2,2,3,3,1,3,2,3,1,2,2,2,3,1,2,2,3,1,2,2,1,1,1,2,2,2,1,2,2,1,2,2,3,1,2,2,2,2,1,1,2,2,22
2,1,1,2,2,1,1,2,3,4,2,2,2,2,2,2,2,2,2,1,2,2,2,1,1,2,2,1,2,1,1,2,1,1,1,1,1,1,2,2,.,2,.,2,.,.,2,2,2,1,2,3,1,2,2,2,1,1,1,1,2,1,2,2,3,2,1,2,1,1,1,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,33
1,1,1,3,1,1,1,1,3,3,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,2,1,2,2,2,1,1,2,2,2,2,2,1,2,1,2,2,2,2,1,2,2,2,2,2,2,3,2,3,2,3,2,1,2,3,1,2,2,2,1,1,1,2,1,2,1,1,2,2,2,2,2,3,2,3,3,2,3,3,3,3,2,2,2,2,55
2,2,.,0,3,1,1,1,3,3,2,2,2,2,2,2,2,2,2,1,2,2,2,2,1,2,1,2,2,1,2,1,2,1,1,2,2,1,2,1,1,2,1,2,.,1,2,1,2,1,3,3,1,3,2,3,1,1,1,1,1,1,1,1,3,2,1,2,1,1,1,2,2,2,1,2,2,2,1,3,.,1,2,2,1,3,3,3,2,2,19
2,1,1,4,2,1,2,3,2,4,2,2,2,1,2,2,2,2,2,1,2,2,2,2,1,2,2,2,2,1,2,2,2,2,1,2,1,2,2,2,2,2,2,2,2,2,2,2,2,1,3,3,1,2,2,3,1,3,2,3,3,1,2,1,2,2,1,2,1,2,1,2,1,2,1,2,4,2,2,3,2,2,2,3,2,3,2,2,2,2,35
2,1,1,2,2,1,2,2,3,3,2,2,2,2,2,2,2,2,2,1,2,2,2,1,1,2,1,2,1,1,2,2,2,1,2,1,1,1,2,1,1,2,1,2,1,1,1,1,2,2,2,3,1,3,2,3,1,1,2,1,1,1,2,2,3,1,1,2,1,2,1,2,1,2,2,2,3,2,1,2,2,1,3,2,2,3,2,2,2,2,37
2,1,1,4,1,1,2,4,1,4,2,2,1,2,2,2,2,2,1,1,2,2,2,2,1,2,2,1,1,2,1,2,2,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,1,3,1,1,3,2,2,1,3,2,3,1,1,2,2,3,1,1,2,1,2,1,2,1,2,2,2,2,2,3,2,2,2,3,2,2,3,1,2,3,2,66
1,1,1,2,1,1,2,2,1,1,2,2,1,2,2,1,2,2,1,1,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,1,1,2,2,1,2,2,2,2,1,2,1,1,2,1,2,3,1,3,2,3,1,1,2,2,2,1,2,1,3,1,1,2,1,2,1,2,2,2,1,2,2,2,3,4,4,2,2,3,2,2,2,2,2,1,69
2,2,.,0,2,1,1,2,3,3,2,2,2,2,1,2,2,2,2,2,2,2,1,1,2,2,2,2,2,2,2,2,2,2,2,1,1,2,2,1,1,1,.,1,1,2,1,1,1,1,3,2,3,3,3,3,1,1,2,3,3,1,3,2,3,1,2,2,1,2,1,1,2,2,2,1,2,1,3,3,3,2,3,3,3,3,2,2,2,2,42
2,2,.,0,1,1,1,2,3,4,2,2,1,2,2,2,2,2,2,1,2,2,2,2,1,2,1,1,2,2,1,2,2,2,1,1,1,1,2,1,1,2,2,2,1,1,2,1,1,1,3,3,1,2,3,3,1,2,1,2,1,1,1,2,3,1,1,2,2,1,1,2,2,2,1,2,2,1,2,3,3,1,3,2,2,3,2,2,2,2,20
1,2,.,0,2,2,1,2,2,4,2,2,2,1,2,2,2,2,2,1,2,2,2,1,1,2,1,2,2,2,2,2,2,1,2,2,1,2,2,.,2,2,2,2,2,2,2,2,2,1,3,3,1,1,2,2,1,1,1,2,3,1,2,2,3,1,1,2,2,1,1,2,2,2,2,1,3,3,3,2,2,2,2,3,3,3,3,3,2,2,38
1,1,1,2,2,1,3,2,3,3,2,2,1,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,1,2,2,1,1,1,2,2,2,1,2,2,2,2,2,2,2,1,2,2,3,2,2,1,3,2,2,2,2,3,3,2,2,2,2,1,2,2,1,2,1,2,1,2,2,2,2,1,2,4,3,2,3,4,2,2,2,2,3,2,49
2,1,1,3,2,1,2,2,2,4,2,1,1,1,2,1,2,2,2,1,2,2,2,1,1,2,2,2,2,2,1,2,2,1,2,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,1,.,2,3,1,2,2,2,2,2,2,2,3,1,1,2,1,1,1,2,2,2,2,2,3,3,2,2,2,2,3,3,3,4,4,2,3,3,64
2,1,1,2,1,1,1,2,3,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2,2,2,2,1,1,2,1,1,1,1,2,2,1,1,1,1,1,2,2,1,1,2,1,3,2,1,1,2,2,2,1,2,2,2,2,2,2,1,1,1,2,1,2,1,2,2,1,2,2,2,3,2,3,3,2,2,2,3,3,3,3,3,3,51
2,1,1,2,3,1,1,1,2,4,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,2,2,2,2,2,1,2,2,1,2,2,1,1,2,2,2,2,2,2,2,2,2,2,1,2,3,3,1,.,3,3,1,.,1,1,3,1,3,1,2,1,1,2,1,1,1,2,2,2,2,2,4,1,3,3,4,2,3,3,3,4,2,2,3,3,57
2,1,2,2,2,1,1,1,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,2,1,2,2,1,2,2,2,2,2,2,1,2,2,1,2,2,2,2,2,2,2,2,2,1,2,2,1,2,2,3,1,1,2,2,1,1,1,1,2,1,1,2,1,2,1,2,2,2,1,2,2,2,1,2,1,1,2,2,2,.,.,.,2,2,32
2,1,1,3,1,1,1,1,2,1,2,2,1,2,2,2,2,2,2,1,2,2,2,2,1,2,2,2,2,2,1,2,2,1,1,2,1,2,2,1,1,1,1,1,2,2,1,1,2,1,2,3,1,2,1,3,1,2,1,1,1,1,2,2,3,2,1,2,1,2,1,2,2,1,1,2,3,3,2,4,3,2,2,.,.,4,3,3,2,2,43
1,1,1,2,1,1,1,1,1,4,2,2,2,2,2,2,2,2,2,1,2,2,2,2,1,2,1,2,2,2,1,2,2,2,2,1,1,1,2,2,2,2,2,2,2,2,2,2,2,1,3,2,1,3,2,3,1,3,1,2,2,1,2,2,.,1,2,2,1,2,1,2,1,2,1,2,3,2,2,2,2,1,2,2,2,3,2,2,2,1,60
2,1,2,0,2,1,1,1,4,4,2,2,1,2,2,2,2,1,2,1,2,2,2,1,1,2,1,2,2,2,2,1,2,1,1,1,1,1,2,.,1,2,2,2,.,1,2,2,1,1,2,2,1,2,2,3,1,1,2,2,2,1,2,2,3,2,1,2,1,1,1,2,2,2,1,2,3,3,3,3,2,1,3,2,3,3,.,.,2,3,23
1,1,1,2,3,1,3,1,3,4,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,2,1,2,2,1,2,2,2,1,1,1,1,1,2,.,1,1,1,1,1,1,2,1,1,1,3,3,1,3,3,3,1,3,3,1,1,1,1,1,3,1,1,2,1,2,1,2,2,2,1,2,3,3,2,2,1,1,3,1,1,2,3,1,1,1,30
1,1,1,1,1,1,1,1,1,4,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,2,1,2,2,2,2,2,2,2,1,1,2,2,2,2,.,2,2,2,2,2,2,2,2,1,3,1,1,1,1,1,1,1,1,1,1,1,1,1,3,1,1,2,1,2,1,1,2,2,2,2,4,3,1,3,1,1,1,1,1,4,3,1,1,1,52
2,1,1,1,2,1,1,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,1,1,2,2,1,1,2,1,1,1,1,2,2,1,1,2,2,2,2,.,.,1,2,1,3,2,1,2,2,2,1,1,1,1,2,1,2,2,2,2,1,2,2,1,1,2,1,2,1,2,3,2,1,3,2,1,2,2,2,3,3,3,2,2,41
2,1,2,2,2,1,1,1,2,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2,2,2,2,1,2,2,2,1,1,1,1,2,1,2,2,.,2,2,2,1,1,1,2,3,3,1,3,2,2,1,1,2,2,1,2,2,2,2,2,1,2,1,1,1,2,1,2,2,2,.,.,.,.,.,.,.,.,.,.,.,.,.,.,35
2,1,1,3,4,1,4,1,2,4,2,2,2,2,2,2,1,1,2,1,2,2,1,2,1,2,1,2,2,1,2,1,2,1,1,2,1,1,2,1,1,2,2,1,1,2,1,1,2,1,3,1,1,3,3,3,1,3,1,3,1,1,1,1,1,1,1,2,1,2,1,2,2,2,1,2,3,4,3,4,4,4,4,3,4,4,4,4,2,2,48
1,1,1,2,2,1,1,1,3,4,2,1,1,1,2,1,1,2,2,1,1,2,1,1,1,2,2,1,2,1,1,2,1,1,2,1,1,2,2,2,2,2,2,2,2,2,2,2,2,1,3,3,1,3,2,3,2,1,1,1,2,2,1,3,3,1,1,2,1,2,1,2,1,2,2,2,4,2,3,4,3,2,3,2,2,4,2,3,2,3,29
1,2,.,1,1,1,1,2,3,4,2,2,1,2,2,2,2,2,2,1,2,2,2,1,1,2,1,2,2,2,1,2,2,1,1,1,1,2,2,2,1,2,2,1,1,1,2,2,2,1,2,3,1,3,1,3,1,2,2,2,.,2,2,2,2,1,2,2,1,2,1,2,2,2,2,1,4,1,2,2,2,2,3,2,2,3,2,2,2,2,25
2,1,1,3,4,1,2,3,3,1,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,1,1,2,2,2,2,1,2,2,1,2,1,1,2,1,1,1,1,1,.,2,1,1,2,1,2,3,1,3,2,3,1,2,1,2,2,2,3,2,3,2,1,2,1,1,2,2,2,1,2,2,3,3,2,3,.,2,2,2,2,3,2,3,2,2,45
1,1,1,0,2,2,1,1,2,4,2,1,1,2,2,2,1,2,2,1,2,2,1,2,1,2,1,2,1,1,1,2,2,1,1,2,1,1,2,2,2,2,2,2,2,2,2,2,2,1,2,3,1,3,2,3,1,1,1,1,3,1,2,2,3,1,2,2,1,2,1,2,2,2,1,1,3,2,3,2,2,2,2,2,2,3,2,2,3,3,54
1,2,.,0,1,2,2,2,3,3,2,2,1,2,2,1,2,2,2,1,2,2,2,1,1,2,2,2,2,2,1,2,2,2,1,2,1,1,2,.,1,.,2,1,1,2,1,1,1,1,3,2,1,3,3,3,1,1,2,2,3,2,3,2,3,1,2,2,1,1,1,2,2,2,1,2,3,2,2,2,1,1,3,4,4,2,2,3,1,2,22
